PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
DEANDRE AYTON,Phoenix Suns,Arizona,2018,1,1,1
MARVIN BAGLEY III,Sacramento Kings,Duke,2018,1,2,2
LUKA DONČIĆ,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
JAREN JACKSON JR.,Memphis Grizzlies,Michigan State,2018,1,4,4
TRAE YOUNG,Dallas Mavericks,Oklahoma,2018,1,5,5
MO BAMBA,Orlando Magic,Texas,2018,1,6,6
WENDELL CARTER JR.,Chicago Bulls,Duke,2018,1,7,7
COLLIN SEXTON,Cleveland Cavaliers,Alabama,2018,1,8,8
KEVIN KNOX II,New York Knicks,Kentucky,2018,1,9,9
MIKAL BRIDGES,Philadelphia 76ers,Villanova,2018,1,10,10
SHAI GILGEOUS-ALEXANDER,Charlotte Hornets,Kentucky,2018,1,11,11
MILES BRIDGES,LA Clippers,Michigan State,2018,1,12,12
JEROME ROBINSON,LA Clippers,Boston College,2018,1,13,13
MICHAEL PORTER JR.,Denver Nuggets,Missouri,2018,1,14,14
TROY BROWN JR.,Washington Wizards,Oregon,2018,1,15,15
ZHAIRE SMITH,Phoenix Suns,Texas Tech,2018,1,16,16
DONTE DIVINCENZO,Milwaukee Bucks,Villanova,2018,1,17,17
LONNIE WALKER IV,San Antonio Spurs,Miami (FL),2018,1,18,18
KEVIN HUERTER,Atlanta Hawks,Maryland,2018,1,19,19
JOSH OKOGIE,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
GRAYSON ALLEN,Utah Jazz,Duke,2018,1,21,21
CHANDLER HUTCHISON,Chicago Bulls,Boise State,2018,1,22,22
AARON HOLIDAY,Indiana Pacers,California-Los Angeles,2018,1,23,23
ANFERNEE SIMONS,Portland Trail Blazers,IMG Academy,2018,1,24,24
MORITZ WAGNER,Los Angeles Lakers,Michigan,2018,1,25,25
LANDRY SHAMET,Philadelphia 76ers,Wichita State,2018,1,26,26
ROBERT WILLIAMS III,Boston Celtics,Texas A&M,2018,1,27,27
JACOB EVANS,Golden State Warriors,Cincinnati,2018,1,28,28
DZANAN MUSA,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
OMARI SPELLMAN,Atlanta Hawks,Villanova,2018,1,30,30
ELIE OKOBO,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
JEVON CARTER,Memphis Grizzlies,West Virginia,2018,2,2,32
JALEN BRUNSON,Dallas Mavericks,Villanova,2018,2,3,33
DEVONTE' GRAHAM,Atlanta Hawks,Kansas,2018,2,4,34
MELVIN FRAZIER JR.,Orlando Magic,Tulane,2018,2,5,35
MITCHELL ROBINSON,New York Knicks,,2018,2,6,36
GARY TRENT JR.,Sacramento Kings,Duke,2018,2,7,37
KHYRI THOMAS,Philadelphia 76ers,Creighton,2018,2,8,38
ISAAC BONGA,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
RODIONS KURUCS,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
JARRED VANDERBILT,Orlando Magic,Kentucky,2018,2,11,41
BRUCE BROWN,Detroit Pistons,Miami (FL),2018,2,12,42
JUSTIN JACKSON,Denver Nuggets,Maryland,2018,2,13,43
ISSUF SANON,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
HAMIDOU DIALLO,Brooklyn Nets,Kentucky,2018,2,15,45
DE'ANTHONY MELTON,Houston Rockets,Southern California,2018,2,16,46
SVI MYKHAILIUK,Los Angeles Lakers,Kansas,2018,2,17,47
KEITA BATES-DIOP,Minnesota Timberwolves,Ohio State,2018,2,18,48
CHIMEZIE METU,Milwaukee Bucks,Southern California,2018,2,19,49
ALIZE JOHNSON,Indiana Pacers,Missouri State,2018,2,20,50
TONY CARR,New Orleans Pelicans,Penn State,2018,2,21,51
VINCENT EDWARDS,Utah Jazz,Purdue,2018,2,22,52
DEVON HALL,Oklahoma City Thunder,Virginia,2018,2,23,53
SHAKE MILTON,Dallas Mavericks,Southern Methodist,2018,2,24,54
ARNOLDAS KULBOKA,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
RAY SPALDING,Philadelphia 76ers,Louisville,2018,2,26,56
KEVIN HERVEY,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
THOMAS WELSH,Denver Nuggets,California-Los Angeles,2018,2,28,58
GEORGE KING,Phoenix Suns,Colorado,2018,2,29,59
KOSTAS ANTETOKOUNMPO,Philadelphia 76ers,Dayton,2018,2,30,60
