PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
ANTHONY EDWARDS,Minnesota Timberwolves,Georgia,2020,1,1,1
JAMES WISEMAN,Golden State Warriors,Memphis,2020,1,2,2
LAMELO BALL,Charlotte Hornets,Illawarra (Australia),2020,1,3,3
PATRICK WILLIAMS,Chicago Bulls,Florida State,2020,1,4,4
ISAAC OKORO,Cleveland Cavaliers,Auburn,2020,1,5,5
ONYEKA OKONGWU,Atlanta Hawks,Southern California,2020,1,6,6
KILLIAN HAYES,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7
OBI TOPPIN,New York Knicks,Dayton,2020,1,8,8
DENI AVDIJA,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9,9
JALEN SMITH,Phoenix Suns,Maryland,2020,1,10,10
DEVIN VASSELL,San Antonio Spurs,Florida State,2020,1,11,11
TYRESE HALIBURTON,Sacramento Kings,Iowa State,2020,1,12,12
KIRA LEWIS JR.,New Orleans Pelicans,Alabama,2020,1,13,13
AARON NESMITH,Boston Celtics,Vanderbilt,2020,1,14,14
COLE ANTHONY,Orlando Magic,North Carolina,2020,1,15,15
ISAIAH STEWART,Portland Trail Blazers,Washington,2020,1,16,16
ALEKSEJ POKUSEVSKI,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17,17
JOSH GREEN,Dallas Mavericks,Arizona,2020,1,18,18
SADDIQ BEY,Brooklyn Nets,Villanova,2020,1,19,19
PRECIOUS ACHIUWA,Miami Heat,Memphis,2020,1,20,20
TYRESE MAXEY,Philadelphia 76ers,Kentucky,2020,1,21,21
ZEKE NNAJI,Denver Nuggets,Arizona,2020,1,22,22
LEANDRO BOLMARO,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23,23
R.J. HAMPTON,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24
IMMANUEL QUICKLEY,Oklahoma City Thunder,Kentucky,2020,1,25,25
PAYTON PRITCHARD,Boston Celtics,Oregon,2020,1,26,26
UDOKA AZUBUIKE,Utah Jazz,Kansas,2020,1,27,27
JADEN MCDANIELS,Los Angeles Lakers,Washington,2020,1,28,28
MALACHI FLYNN,Toronto Raptors,San Diego State,2020,1,29,29
DESMOND BANE,Boston Celtics,Texas Christian,2020,1,30,30
TYRELL TERRY,Dallas Mavericks,Stanford,2020,2,1,31
VERNON CAREY JR.,Charlotte Hornets,Duke,2020,2,2,32
DANIEL OTURU,Minnesota Timberwolves,Minnesota,2020,2,3,33
THEO MALEDON,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34
XAVIER TILLMAN,Sacramento Kings,Michigan State,2020,2,5,35
TYLER BEY,Philadelphia 76ers,Colorado,2020,2,6,36
VÍT KREJČÍ,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7,37
SABEN LEE,Utah Jazz,Vanderbilt,2020,2,8,38
ELIJAH HUGHES,New Orleans Pelicans,Syracuse,2020,2,9,39
ROBERT WOODARD II,Memphis Grizzlies,Mississippi State,2020,2,10,40
TRE JONES,San Antonio Spurs,Duke,2020,2,11,41
NICK RICHARDS,New Orleans Pelicans,Kentucky,2020,2,12,42
JAHMI'US RAMSEY,Sacramento Kings,Texas Tech,2020,2,13,43
MARKO SIMONOVIC,Chicago Bulls,KK Mega Leks (Serbia),2020,2,14,44
JORDAN NWORA,Milwaukee Bucks,Louisville,2020,2,15,45
CJ ELLEBY,Portland Trail Blazers,Washington State,2020,2,16,46
YAM MADAR,Boston Celtics,Hapoel Galil Elyon (Israel),2020,2,17,47
NICO MANNION,Golden State Warriors,Arizona,2020,2,18,48
ISAIAH JOE,Philadelphia 76ers,Arkansas,2020,2,19,49
SKYLAR MAYS,Atlanta Hawks,Louisiana State,2020,2,20,50
JUSTINIAN JESSUP,Golden State Warriors,Boise State,2020,2,21,51
KJ MARTIN,Sacramento Kings,IMG Academy,2020,2,22,52
CASSIUS WINSTON,Oklahoma City Thunder,Michigan State,2020,2,23,53
CASSIUS STANLEY,Indiana Pacers,Duke,2020,2,24,54
JAY SCRUBB,Brooklyn Nets,John A. Logan,2020,2,25,55
GRANT RILLER,Charlotte Hornets,College of Charleston,2020,2,26,56
REGGIE PERRY,LA Clippers,Mississippi State,2020,2,27,57
PAUL REED,Philadelphia 76ers,DePaul,2020,2,28,58
JALEN HARRIS,Toronto Raptors,Nevada-Reno,2020,2,29,59
SAM MERRILL,New Orleans Pelicans,Utah State,2020,2,30,60
